Hidraulica;Termica;CARGA;EARM;ENA;Pesado
5171.14;279.71;5658;1014.76;63.71;18.33
5157.29;500.86;6675;968.51;72.71;18.33
5373.86;462.29;6723.57;66.07;80.14;18.33
5471.57;417.71;6691.86;68.48;83.71;18.33
5057;437.57;6814.14;72.19;86.86;18.33
4853.57;365.57;6502.86;75.53;86.86;18.33
5070.43;407.29;6648.29;78.34;80;18.33
5883.86;303.43;6735.57;80.76;92.14;18.33
6360.86;443.86;6923.71;3090.21;212.86;18.33
6479.43;419;7029.86;85.39;84.43;18.33
6238.29;414.86;6847.14;86.71;77.29;18.33
5852.29;489.43;6503.14;88.85;85;18.33
6054.29;344.86;6544.43;91.05;98.29;18.33
6287.57;262.43;6721.29;99.92;136.94;18.33
6173.57;342.43;6740.71;96.51;137.71;18.33
6347;248.29;6700.29;97.39;121.43;18.33
6469.71;264.57;6846.14;96.94;105.29;18.33
6046.57;325.43;6540.57;97.45;105.14;18.33
6113.86;358.29;6619.43;97.63;112.14;18.33
6066.71;228.29;6589;97.21;102.43;18.33
5765.29;198;6578;96.38;97.14;18.33
5153.86;198.29;6410.14;95.7;94.57;18.33
5050.14;273.29;6407;95.19;95;18.33
5238.71;312.57;6457.29;94.81;101;18.33
6006.86;238.71;6425.43;93;99.43;18.33
5874.29;253;6300.57;91.73;95.71;18.33
5998.43;196.14;6440.14;90.35;96.57;18.33
5661.29;226.29;6384.29;88.87;93.14;18.33
5895.29;196;6509.57;87.1;90.29;18.33
5259.86;249.57;6495.86;85.51;88.43;18.33
5125.14;294.43;6474.71;84.21;88.43;18.33
5782;269.43;6560;82.57;89.57;18.33
6013.86;269.71;6610.43;80.67;88.71;18.33
5878.86;283.71;6622.43;78.84;87.57;18.33
5930;282.57;6710.29;76.99;88.29;19.53
5960.14;256;6661.14;75.08;88.71;18.33
6005.43;250.14;6757.43;72.96;86.29;18.33
6173.57;258.71;6878.14;70.92;86;18.33
6247;213.14;6971.86;68.57;85.86;18.33
6441.57;308;6961.71;66.32;72.71;18.33
6429;245;6789.14;63.76;74.71;18.33
6270.71;283.57;6897.43;61.22;78;18.33
6033;266.29;7012;58.94;74.43;19.55
5890.29;272.57;6890.43;56.87;48.71;21.21
